Application Status,Merit Score,Domicile,Province,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Optional Subject 6,hsc_opt_6_total,Document Verified,English Marks,Offered
Application Fee Received,766,Bahawalpur,Punjab,53,629,640,131,118,39,70,33,103,170,0,131,No
Application Fee Received,719,Bahawalpur,Punjab,35,781,612,93,112,102,37,117,41,50,0,112,No
Application Fee Received,552,Bahawalpur,Punjab,0,532,471,86,77,68,68,39,29,50,0,86,No
Application Fee Received,668,Bahawalpur,Punjab,46,596,564,114,94,38,65,39,78,200,0,114,No
Application Fee Received,702,Bahawalpur,Punjab,0,640,597,110,40,32,101,74,92,200,0,110,No
Application Fee Received,898,Bahawalpur,Punjab,0,552,781,119,31,163,102,185,46,50,0,102,No
Application Fee Received,529,Bahawalpur,Punjab,0,513,451,73,42,55,77,0,0,0,0,73,No
Application Fee Received,903,Bahawalpur,Punjab,61,867,754,154,149,142,113,38,38,50,0,154,No
Application Fee Received,826,Bahawalpur,Punjab,0,690,740,91,136,45,162,32,146,200,0,91,No
Application Fee Received,817,Bahawalpur,Punjab,0,603,719,103,98,37,152,45,0,0,0,103,No
Application Fee Received,703,Bahawalpur,Punjab,0,742,594,114,92,109,88,41,43,50,0,114,No
Challan Printed,738,Bahawalpur,Punjab,90,788,768,0,0,0,0,0,0,0,0,0,No
Application Fee Received,809,Bahawalpur,Punjab,43,731,677,137,99,106,0,126,0,0,0,137,No
Application Fee Received,852,Bahawalpur,Punjab,51,714,699,158,124,100,115,34,40,50,0,158,No
Application Fee Received,655,Bahawalpur,Punjab,50,651,565,100,97,67,36,44,126,200,0,100,No
Application Fee Received,1049,Bahawalpur,Punjab,52,802,889,165,44,42,178,155,162,200,0,165,No
Challan Printed,823,Bahawalpur,Punjab,67,782,651,101,104,157,31,88,39,50,0,157,No
Application Fee Received,656,Bahawalpur,Punjab,0,512,556,89,87,115,105,0,0,0,0,105,No
Admission Fee Challan Received,1018,Bahawalpur,Punjab,49,888,869,164,156,156,159,45,43,50,1,159,Yes
Application Fee Received,638,Bahawalpur,Punjab,43,843,571,72,57,0,0,0,0,0,0,72,No
Application Fee Received,898,Bahawalpur,Punjab,71,791,744,159,110,43,132,138,32,50,1,159,No
Admission Fee Challan Received,734,Bahawalpur,Punjab,0,690,616,128,93,106,123,0,0,0,1,123,No
Application Fee Received,605,Bahawalpur,Punjab,42,654,510,68,67,118,31,25,100,200,0,100,No
Application Fee Received,788,Bahawalpur,Punjab,64,776,648,105,96,40,117,42,109,200,0,105,No
Application Fee Received,722,Bahawalpur,Punjab,54,753,627,136,117,100,35,103,41,50,0,100,No
Application Fee Received,873,Bahawalpur,Punjab,54,878,727,151,131,127,105,0,0,0,0,151,No
Application Fee Received,750,Bahawalpur,Punjab,50,535,631,124,73,137,105,0,0,0,0,124,No
Application Fee Received,975,Bahawalpur,Punjab,53,763,836,138,42,158,44,158,149,200,0,149,No
Application Fee Received,1150,Bahawalpur,Punjab,49,943,980,186,175,84,47,175,47,50,1,175,Yes
Application Fee Received,792,Bahawalpur,Punjab,44,770,648,149,79,131,41,90,30,50,1,149,No
Application Fee Received,712,Bahawalpur,Punjab,48,629,585,53,117,132,73,27,40,50,0,132,No
Application Received,642,Bahawalpur,Punjab,0,611,545,76,75,96,102,0,0,0,0,102,No
Application Fee Received,904,Bahawalpur,Punjab,47,846,770,139,141,128,137,0,0,0,0,139,No
Application Fee Received,771,OPEN,Sind,40,832,670,106,117,110,150,43,18,50,0,106,No
Application Fee Received,771,Bahawalpur,Punjab,29,643,641,117,135,103,24,113,41,50,0,135,No
Application Fee Received,550,Bahawalpur,Punjab,40,678,505,99,89,85,39,87,24,50,0,0,No
Challan Printed,732,Bahawalpur,Punjab,0,845,619,118,89,106,110,0,0,0,0,118,No
Application Fee Received,820.324,Bahawalpur,Punjab,50,720,805,40,69,62,78,91,36,50,0,40,No
Application Fee Received,900,Bahawalpur,Punjab,44,725,775,135,140,157,149,42,37,50,0,135,No
Application Fee Received,653,Bahawalpur,Punjab,0,649,658,0,0,0,0,0,0,0,0,0,No
Application Fee Received,896,Bahawalpur,Punjab,54,799,757,141,128,144,147,38,40,50,0,144,No
Application Fee Received,748,Bahawalpur,Punjab,61,769,625,108,119,92,125,38,32,50,0,108,No
Admission Fee Challan Received,0,Bahawalpur,Punjab,46,735,633,113,107,33,86,40,144,200,1,113,No
Application Fee Received,645,Bahawalpur,Punjab,54,553,583,67,36,23,132,126,96,200,0,67,No
Application Fee Received,583,Bahawalpur,Punjab,65,708,541,136,62,116,39,87,32,50,0,62,No
Challan Printed,734,Bahawalpur,Punjab,51,641,596,143,103,37,96,32,94,200,0,143,No
Application Received,649,Bahawalpur,Punjab,40,753,542,104,112,89,23,89,29,50,0,112,No
Challan Printed,630,Bahawalpur,Punjab,0,552,556,64,70,83,34,31,175,200,0,64,No
Application Fee Received,876,Bahawalpur,Punjab,51,775,724,123,132,121,157,0,0,0,0,157,No
Admission Fee Challan Received,1021,Bahawalpur,Punjab,68,931,850,157,176,155,0,145,0,0,1,176,Yes
Application Fee Received,639,Bahawalpur,Punjab,0,643,555,87,109,91,40,95,34,50,0,109,No
Challan Printed,670,Bahawalpur,Punjab,0,554,567,118,37,42,94,77,74,200,0,118,No
Challan Printed,491,Bahawalpur,Punjab,50,526,506,0,0,0,0,0,0,0,0,0,No
Application Fee Received,1009,Bahawalpur,Punjab,40,849,841,39,160,177,108,36,173,200,1,173,Yes
Application Fee Received,777,Bahawalpur,Punjab,51,611,671,111,90,101,48,45,142,200,0,111,No
Application Fee Received,946,Bahawalpur,Punjab,47,819,798,139,158,138,45,140,43,50,0,158,No
Application Fee Received,744,Bahawalpur,Punjab,0,660,622,127,121,110,105,0,0,0,0,127,No
Challan Printed,678,Bahawalpur,Punjab,0,714,553,130,65,32,78,35,127,200,0,130,No
