application_status,NTS,ssc_obtained,FA/FSC,Document Verified,Offered
NotComplete,0,651,629,No,No
Complete,50,693,681,No,No
Complete,50,613,725,No,No
NotComplete,64,862,826,No,No
Complete,44,796,782,No,No
Complete,44,901,871,No,No
NotComplete,56,697,728,No,No
Complete,59,931,905,Yes,Yes
Complete,46,764,690,No,No
Complete,53,517,600,No,No
NotComplete,41,738,741,No,No
Complete,0,708,691,No,No
Complete,45,723,698,No,No
Complete,26,635,557,No,No
Complete,50,655,618,No,No
Complete,47,820,856,No,No
NotComplete,0,783,766,No,No
Complete,54,865,848,No,No
NotComplete,47,765,529,No,No
Complete,44,684,608,No,No
NotComplete,46,639,747,No,No
Complete,59,848,888,No,No
Complete,0,506,501,No,No
Complete,50,861,817,No,No
Complete,44,782,852,Yes,Yes
NotComplete,49,729,674,No,No
NotComplete,60,931,920,No,No
NotComplete,0,831,843,No,No
Complete,58,776,827,No,No
NotComplete,0,775,690,No,No
Complete,83,827,833,No,No
NotComplete,0,690,713,No,No
NotComplete,50,641,664,No,No
Complete,49,757,707,No,No
NotComplete,41,835,658,No,No
Complete,54,718,764,No,No
NotComplete,52,693,801,No,No
Complete,55,667,627,No,No
Complete,49,800,879,No,No
NotComplete,46,663,862,No,No
Complete,52,829,892,No,No
NotComplete,41,777,661,No,No
Complete,22,717,811,No,No
Complete,40,644,701,No,No
Complete,54,790,706,No,No
Complete,43,812,882,No,No
Complete,50,749,726,No,No
Complete,51,937,875,No,No
Complete,43,823,704,No,No
Complete,63,739,816,No,No
NotComplete,52,669,642,No,No
Complete,60,840,765,Yes,No
Complete,46,715,689,No,No
Complete,33,601,647,No,No
Complete,51,808,825,Yes,No
Complete,57,900,860,No,No
Complete,51,662,754,No,No
NotComplete,60,701,748,No,No
Complete,55,826,818,No,No
Complete,50,453,546,No,No
Complete,57,724,780,No,No
Complete,60,832,683,No,No
Complete,60,554,682,No,No
Complete,52,864,659,No,No
NotComplete,55,758,694,No,No
Complete,54,638,717,No,No
Complete,50,701,816,No,No
NotComplete,43,703,723,No,No
NotComplete,50,798,814,No,No
Complete,32,717,788,No,No
NotComplete,0,831,794,No,No
Complete,41,636,763,No,No
Complete,48,826,757,No,No
Complete,43,615,854,No,No
Complete,62,865,913,Yes,Yes
Complete,49,915,800,No,No
Complete,31,693,650,No,No
Complete,50,799,787,No,No
Complete,51,673,746,No,No
Complete,59,737,627,No,No
Complete,50,488,744,No,No
NotComplete,42,734,604,No,No
NotComplete,41,449,818,No,No
NotComplete,46,743,794,No,No
Complete,47,737,590,No,No
Complete,53,712,775,No,No
Complete,49,846,879,No,No
Complete,50,708,613,No,No
Complete,53,821,812,No,No
Complete,50,561,745,No,No
Complete,50,598,622,No,No
Complete,50,616,840,No,No
Complete,59,836,791,Yes,No
Complete,34,512,611,No,No
Complete,60,853,815,No,No
Complete,49,878,815,No,No
Complete,55,777,679,No,No
Complete,50,683,794,No,No
Complete,40,802,772,Yes,No
NotComplete,43,620,800,No,No
Complete,50,747,801,No,No
Complete,72,758,592,No,No
Complete,34,569,729,No,No
Complete,45,585,601,No,No
NotComplete,43,837,756,No,No
Complete,50,936,787,No,No
Complete,44,768,847,No,No
NotComplete,52,735,682,No,No
Complete,57,926,920,Yes,Yes
NotComplete,55,723,730,No,No
Complete,43,592,670,No,No
Complete,47,811,565,No,No
Complete,60,845,915,No,No
Complete,60,814,731,No,No
Complete,48,541,583,No,No
Complete,57,840,810,No,No
Complete,55,670,951,Yes,Yes
Complete,43,701,604,No,No
Complete,52,733,672,No,No
Complete,50,581,643,No,No
Complete,66,693,888,Yes,Yes
NotComplete,60,602,623,No,No
Complete,58,789,819,No,No
Complete,45,788,693,No,No
Complete,44,917,842,No,No
NotComplete,53,735,739,No,No
Complete,48,584,643,No,No
Complete,52,573,708,No,No
Complete,61,651,838,Yes,Yes
Complete,43,853,734,No,No
Complete,45,602,678,No,No
Complete,50,832,679,No,No
NotComplete,69,851,812,No,No
NotComplete,81,931,974,No,No
Complete,64,839,863,No,No
Complete,43,861,702,No,No
NotComplete,58,650,638,No,No
Complete,57,798,816,No,No
Complete,46,856,841,No,No
NotComplete,0,829,647,No,No
Complete,61,922,860,Yes,Yes
NotComplete,72,908,922,No,No
Complete,67,968,925,Yes,Yes
Complete,63,741,811,No,No
Complete,48,802,751,No,No
NotComplete,66,874,916,No,No
Complete,65,863,773,Yes,No
NotComplete,49,591,589,No,No
Complete,49,606,792,No,No
NotComplete,58,924,744,No,No
Complete,47,729,725,No,No
NotComplete,41,920,799,No,No
Complete,44,710,801,No,No
Complete,54,776,840,No,No
NotComplete,54,786,777,No,No
Complete,43,749,683,No,No
Complete,52,672,839,No,No
Complete,51,865,816,No,No
Complete,50,723,736,No,No
Complete,57,724,720,No,No
Complete,57,908,647,No,No
NotComplete,53,557,454,No,No
Complete,0,635,484,No,No
NotComplete,34,693,603,No,No
NotComplete,39,655,722,No,No
Complete,58,941,879,No,No
Complete,61,862,806,No,No
NotComplete,0,868,892,No,No
Complete,46,694,656,No,No
Complete,52,878,842,No,No
Complete,54,711,730,No,No
Complete,58,693,731,No,No
Complete,61,645,674,No,No
Complete,44,714,602,No,No
Complete,44,887,772,No,No
Complete,62,868,722,No,No
Complete,50,882,729,No,No
Complete,45,862,823,No,No
Complete,48,836,860,No,No
NotComplete,63,870,857,No,No
Complete,38,644,690,No,No
Complete,48,751,759,No,No
Complete,53,733,820,No,No
NotComplete,54,643,609,No,No
Complete,42,872,732,No,No
Complete,73,854,951,No,No
Complete,57,800,857,Yes,Yes
Complete,57,738,763,No,No
NotComplete,63,801,780,No,No
Complete,0,672,494,No,No
NotComplete,57,517,568,No,No
Complete,49,805,839,No,No
Complete,69,846,865,Yes,Yes
NotComplete,47,691,679,No,No
NotComplete,37,845,803,No,No
Complete,57,515,490,No,No
Complete,46,450,522,No,No
NotComplete,0,830,705,No,No
Complete,56,544,570,No,No
Complete,50,727,778,No,No
Complete,49,756,1018,Yes,Yes
Complete,32,517,712,No,No
Complete,62,827,835,Yes,Yes
Complete,57,840,853,Yes,No
Complete,57,802,772,Yes,No
Complete,64,842,731,No,No
NotComplete,56,783,741,No,No
NotComplete,50,710,718,No,No
Complete,68,772,809,Yes,Yes
NotComplete,59,720,817,No,No
Complete,30,572,671,No,No
NotComplete,0,610,557,No,No
Complete,50,500,782,No,No
NotComplete,0,574,517,No,No
Complete,48,662,678,No,No
