Application Status,Domicile,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 3,Document Verified,Offered
NotComplete,OPEN,38,841,858,148,174,0,No
Complete,OPEN,22,713,685,0,0,0,No
Complete,OPEN,30,904,728,127,42,0,No
Complete,OPEN,52,725,756,159,99,1,No
Complete,OPEN,46,918,919,83,0,1,No
Complete,OPEN,41,918,781,122,127,0,No
Complete,OPEN,30,813,836,147,150,0,No
NotComplete,OPEN,61,1002,942,172,162,0,No
Complete,OPEN,48,740,704,118,128,0,No
Complete,OPEN,66,826,761,0,0,0,No
Complete,OPEN,59,940,893,175,140,0,No
Complete,OPEN,0,912,829,144,43,0,No
NotComplete,OPEN,0,634,664,125,40,0,No
Complete,OPEN,46,627,808,143,133,0,No
NotComplete,OPEN,23,603,608,80,44,0,No
Complete,OPEN,0,890,823,126,47,0,No
NotComplete,OPEN,0,861,878,166,147,0,No
Complete,OPEN,62,954,895,163,44,0,No
Complete,OPEN,0,752,578,78,104,0,No
NotComplete,OPEN,76,953,934,160,0,0,No
NotComplete,OPEN,52,846,875,0,0,0,No
NotComplete,OPEN,55,891,830,0,0,0,No
NotComplete,OPEN,0,752,578,101,104,0,No
NotComplete,OPEN,0,816,573,0,0,0,No
NotComplete,OPEN,0,846,604,0,0,0,No
Complete,OPEN,48,960,943,0,0,0,No
NotComplete,OPEN,84,922,974,183,195,0,No
Complete,OPEN,0,797,808,155,103,0,No
Complete,OPEN,72,991,960,170,187,1,Yes
Complete,OPEN,0,723,782,165,134,0,No
Complete,OPEN,0,833,774,115,150,0,No
Complete,OPEN,0,739,695,129,131,0,No
Complete,OPEN,32,676,742,0,0,0,No
Complete,OPEN,43,574,606,106,119,0,No
Complete,OPEN,0,765,541,79,93,0,No
Complete,OPEN,0,721,570,58,28,0,No
Complete,OPEN,23,894,809,152,149,0,No
Complete,OPEN,48,738,881,0,0,0,No
Complete,OPEN,0,525,564,110,88,0,No
Complete,OPEN,79,830,977,0,0,0,No
NotComplete,OPEN,43,930,867,0,0,0,No
NotComplete,OPEN,0,882,801,119,168,0,No
Complete,OPEN,42,905,815,149,129,0,No
Complete,OPEN,0,748,666,0,0,0,No
Complete,OPEN,58,850,882,161,46,0,No
NotComplete,OPEN,70,800,800,33,33,0,No
Complete,OPEN,22,797,816,0,0,0,No
Complete,OPEN,0,808,685,39,155,0,No
Complete,OPEN,0,760,736,131,142,0,No
Complete,OPEN,0,746,648,0,0,0,No
Complete,OPEN,0,726,782,131,145,0,No
Complete,OPEN,0,759,717,125,144,0,No
NotComplete,OPEN,0,714,789,0,0,0,No
Complete,OPEN,56,701,740,0,0,0,No
NotComplete,OPEN,75,789,886,155,182,0,No
Complete,OPEN,44,721,612,118,75,0,No
Complete,OPEN,47,888,877,165,163,0,No
Complete,OPEN,0,624,595,97,25,0,No
Complete,OPEN,0,575,668,126,117,0,No
Complete,OPEN,0,911,787,0,0,0,No
Complete,OPEN,57,670,926,165,170,0,No
Complete,OPEN,36,746,620,94,132,0,No
Complete,OPEN,61,643,724,116,146,0,No
Complete,OPEN,38,676,805,0,0,0,No
Complete,OPEN,26,635,557,86,43,0,No
NotComplete,OPEN,0,827,835,0,0,0,No
Complete,OPEN,0,783,766,125,121,0,No
Complete,OPEN,0,770,764,117,141,0,No
Complete,OPEN,0,711,839,0,0,0,No
Complete,Bahawalpur,53,803,860,124,44,0,No
Complete,OPEN,0,823,901,0,0,0,No
NotComplete,OPEN,0,717,804,155,125,0,No
Complete,Bahawalpur,55,722,720,79,114,0,No
NotComplete,OPEN,0,933,670,73,45,0,No
Complete,OPEN,0,701,668,103,114,0,No
Complete,Bahawalpur,42,711,817,154,125,0,No
NotComplete,OPEN,0,661,660,69,133,0,No
Complete,OPEN,75,899,958,185,192,0,No
NotComplete,OPEN,0,796,800,152,149,0,No
NotComplete,OPEN,46,695,726,138,0,0,No
Complete,OPEN,0,868,795,0,0,0,No
Complete,OPEN,45,886,906,142,182,0,No
NotComplete,OPEN,22,939,826,0,0,0,No
Complete,Bahawalpur,54,947,910,155,195,1,Yes
NotComplete,OPEN,0,0,0,0,0,0,No
NotComplete,Bahawalpur,60,845,845,153,160,0,No
NotComplete,OPEN,0,599,797,160,147,0,No
Complete,OPEN,61,869,909,164,161,0,No
NotComplete,OPEN,0,700,752,106,154,0,No
Complete,OPEN,51,956,907,156,41,0,No
Complete,OPEN,43,823,704,132,108,0,No
Complete,OPEN,60,840,765,106,153,1,No
Complete,OPEN,43,688,699,89,91,0,No
Complete,OPEN,0,769,689,0,0,0,No
Complete,OPEN,57,900,860,140,171,0,No
Complete,OPEN,0,807,781,160,84,0,No
Complete,OPEN,49,961,808,146,139,0,No
Complete,OPEN,55,826,818,163,127,0,No
NotComplete,OPEN,0,880,825,139,168,0,No
Complete,OPEN,57,814,788,148,35,0,No
Complete,OPEN,43,834,872,114,40,0,No
Complete,OPEN,52,793,787,137,127,0,No
NotComplete,OPEN,46,940,918,165,156,0,No
Complete,OPEN,62,749,824,146,135,0,No
Complete,OPEN,0,793,719,127,135,0,No
Complete,OPEN,0,926,832,157,162,0,No
Complete,OPEN,59,808,890,183,164,1,No
Complete,OPEN,34,801,765,110,114,0,No
Complete,OPEN,60,887,785,149,46,0,No
Complete,OPEN,56,630,662,0,0,0,No
Complete,OPEN,86,928,972,167,191,1,Yes
Complete,OPEN,54,635,805,114,173,0,No
NotComplete,OPEN,53,819,707,130,111,0,No
NotComplete,OPEN,42,975,878,151,153,0,No
Complete,OPEN,49,900,905,151,176,0,No
Complete,OPEN,0,845,821,157,172,0,No
NotComplete,OPEN,0,732,584,75,43,0,No
Complete,OPEN,0,691,762,102,152,0,No
Complete,OPEN,0,799,884,149,47,0,No
Complete,OPEN,51,944,850,102,47,0,No
Complete,OPEN,50,799,787,0,0,0,No
Complete,OPEN,0,951,864,133,47,0,No
NotComplete,OPEN,51,759,854,0,0,0,No
Complete,Bahawalpur,0,820,742,127,96,0,No
NotComplete,OPEN,55,880,891,152,148,0,No
Complete,OPEN,49,846,879,131,42,0,No
NotComplete,OPEN,60,790,831,154,145,0,No
Complete,OPEN,54,892,815,144,155,0,No
Complete,OPEN,52,738,793,114,129,0,No
Complete,OPEN,34,702,709,131,124,0,No
Complete,OPEN,54,763,757,0,0,0,No
Complete,OPEN,0,782,675,113,116,0,No
Complete,OPEN,42,605,600,90,101,0,No
