Application Status,SSC,Admission Test,Terminal Degree,Document Verified,Offered
NotComplete,758,55,694,0,No
Complete,638,54,717,0,No
Complete,701,50,816,0,No
NotComplete,703,43,723,0,No
NotComplete,798,50,814,0,No
Complete,717,32,788,0,No
NotComplete,831,0,794,0,No
Complete,636,41,763,0,No
Complete,826,48,757,0,No
Complete,615,43,854,0,No
Complete,865,62,913,1,Yes
Complete,915,49,800,0,No
Complete,693,31,650,0,No
Complete,799,50,787,0,No
Complete,673,51,746,0,No
Complete,737,59,627,0,No
Complete,488,50,744,0,No
NotComplete,734,42,604,0,No
NotComplete,449,41,818,0,No
NotComplete,743,46,794,0,No
Complete,737,47,590,0,No
Complete,712,53,775,0,No
Complete,846,49,879,0,No
Complete,708,50,613,0,No
Complete,821,53,812,0,No
Complete,561,50,745,0,No
Complete,598,50,622,0,No
Complete,616,50,840,0,No
Complete,836,59,791,1,No
Complete,512,34,611,0,No
Complete,853,60,815,0,No
Complete,878,49,815,0,No
Complete,777,55,679,0,No
Complete,683,50,794,0,No
Complete,802,40,772,1,No
NotComplete,620,43,800,0,No
Complete,747,50,801,0,No
Complete,758,72,592,0,No
Complete,569,34,729,0,No
Complete,585,45,601,0,No
NotComplete,837,43,756,0,No
Complete,936,50,787,0,No
Complete,768,44,847,0,No
NotComplete,735,52,682,0,No
Complete,926,57,920,1,Yes
NotComplete,723,55,730,0,No
Complete,592,43,670,0,No
Complete,811,47,565,0,No
Complete,845,60,915,0,No
Complete,814,60,731,0,No
Complete,541,48,583,0,No
Complete,840,57,810,0,No
Complete,670,55,951,1,Yes
Complete,701,43,604,0,No
Complete,733,52,672,0,No
Complete,581,50,643,0,No
Complete,693,66,888,1,Yes
NotComplete,602,60,623,0,No
Complete,789,58,819,0,No
Complete,788,45,693,0,No
Complete,917,44,842,0,No
NotComplete,735,53,739,0,No
Complete,584,48,643,0,No
Complete,573,52,708,0,No
Complete,651,61,838,1,Yes
Complete,853,43,734,0,No
Complete,602,45,678,0,No
Complete,832,50,679,0,No
NotComplete,851,69,812,0,No
NotComplete,931,81,974,0,No
Complete,839,64,863,0,No
Complete,861,43,702,0,No
NotComplete,650,58,638,0,No
Complete,798,57,816,0,No
Complete,856,46,841,0,No
NotComplete,829,0,647,0,No
Complete,922,61,860,1,Yes
NotComplete,908,72,922,0,No
Complete,968,67,925,1,Yes
Complete,741,63,811,0,No
Complete,802,48,751,0,No
NotComplete,874,66,916,0,No
Complete,863,65,773,1,No
NotComplete,591,49,589,0,No
Complete,606,49,792,0,No
NotComplete,924,58,744,0,No
Complete,729,47,725,0,No
NotComplete,920,41,799,0,No
Complete,710,44,801,0,No
Complete,776,54,840,0,No
NotComplete,786,54,777,0,No
Complete,749,43,683,0,No
Complete,672,52,839,0,No
Complete,865,51,816,0,No
Complete,723,50,736,0,No
Complete,724,57,720,0,No
Complete,908,57,647,0,No
NotComplete,557,53,454,0,No
Complete,635,0,484,0,No
NotComplete,693,34,603,0,No
NotComplete,655,39,722,0,No
Complete,941,58,879,0,No
Complete,862,61,806,0,No
NotComplete,868,0,892,0,No
Complete,694,46,656,0,No
Complete,878,52,842,0,No
Complete,711,54,730,0,No
Complete,693,58,731,0,No
Complete,645,61,674,0,No
Complete,714,44,602,0,No
Complete,887,44,772,0,No
Complete,868,62,722,0,No
Complete,882,50,729,0,No
Complete,862,45,823,0,No
Complete,836,48,860,0,No
NotComplete,870,63,857,0,No
Complete,644,38,690,0,No
Complete,751,48,759,0,No
Complete,733,53,820,0,No
NotComplete,643,54,609,0,No
Complete,872,42,732,0,No
Complete,854,73,951,0,No
Complete,800,57,857,1,Yes
Complete,738,57,763,0,No
NotComplete,801,63,780,0,No
Complete,672,0,494,0,No
NotComplete,517,57,568,0,No
Complete,805,49,839,0,No
Complete,846,69,865,1,Yes
NotComplete,691,47,679,0,No
NotComplete,845,37,803,0,No
Complete,515,57,490,0,No
Complete,450,46,522,0,No
NotComplete,830,0,705,0,No
Complete,544,56,570,0,No
Complete,727,50,778,0,No
Complete,756,49,1018,1,Yes
Complete,517,32,712,0,No
Complete,827,62,835,1,Yes
Complete,840,57,853,1,No
Complete,802,57,772,1,No
Complete,842,64,731,0,No
NotComplete,783,56,741,0,No
NotComplete,710,50,718,0,No
Complete,772,68,809,1,Yes
NotComplete,720,59,817,0,No
Complete,572,30,671,0,No
NotComplete,610,0,557,0,No
Complete,500,50,782,0,No
NotComplete,574,0,517,0,No
Complete,662,48,678,0,No
