Application Status,Merit Score,Domicile,Gender,Province,Admission Test,Admission Test 2,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Document Verified,English Marks,Offered
Admission Fee Challan Received,1024,Bahawalpur,female,Punjab,64,0,926,965,186,43,190,178,180,1,0,Yes
Application Fee Received,1017,Bahawalpur,female,Punjab,70,0,937,952,179,42,186,174,177,1,0,Yes
Application Fee Received,830,Bahawalpur,female,Punjab,51,0,887,784,159,161,136,145,41,0,0,No
Application Fee Received,962.091,Bahawalpur,female,Punjab,76,76,897,896,0,0,0,0,0,0,0,No
Application Fee Received,915,Bahawalpur,female,Punjab,57,0,871,863,155,136,164,165,0,0,0,No
Application Fee Received,952,Bahawalpur,female,Punjab,58,0,833,899,173,145,186,41,167,0,0,No
Application Fee Received,785,Bahawalpur,female,Punjab,44,0,778,746,136,147,119,127,41,0,0,No
Application Fee Received,967,Bahawalpur,female,Punjab,53,0,942,919,141,185,43,165,48,0,0,No
Challan Printed,655,Bahawalpur,female,Punjab,34,0,669,626,102,30,110,38,123,0,0,No
Application Fee Received,801,Bahawalpur,female,Punjab,71,0,924,740,125,173,91,45,110,0,0,No
Application Fee Received,969,Bahawalpur,male,Punjab,62,0,920,912,171,85,176,163,159,0,0,No
Admission Fee Challan Received,1009.727,Bahawalpur,male,Punjab,69,69,882,945,174,155,189,175,90,1,0,Yes
Admission Fee Challan Received,896,Bahawalpur,female,Punjab,68,53,887,833,163,163,150,33,135,1,0,No
Application Fee Received,767,Bahawalpur,male,Punjab,57,0,737,715,162,126,131,108,38,0,0,No
Application Fee Received,781,Bahawalpur,male,Punjab,52,0,837,739,125,43,29,148,122,0,0,No
Application Received,1009.727,Bahawalpur,male,Punjab,61,61,792,953,177,164,188,173,49,0,0,No
Application Fee Received,848,Bahawalpur,male,Punjab,62,0,873,791,140,126,145,171,44,0,0,No
Challan Printed,743,Bahawalpur,male,Punjab,59,0,874,689,140,44,117,124,105,0,0,No
Application Fee Received,936,Bahawalpur,female,Punjab,61,0,896,880,177,31,42,145,177,0,0,No
Application Fee Received,906,Bahawalpur,female,Punjab,56,0,905,855,0,0,0,0,0,0,0,No
Application Fee Received,971,Bahawalpur,male,Punjab,57,0,759,899,161,166,172,153,46,0,0,No
Challan Printed,859.636,Bahawalpur,male,Punjab,57,57,915,807,140,152,167,119,44,0,0,No
Application Fee Received,1005,Bahawalpur,female,Punjab,62,0,955,948,166,179,185,183,43,0,0,No
Application Fee Received,957.636,Bahawalpur,female,Punjab,57,57,956,905,187,151,160,173,0,0,0,No
Admission Fee Challan Received,1064.818,Bahawalpur,female,Punjab,87,87,961,982,174,189,183,46,184,1,0,Yes
Admission Fee Challan Received,1010.182,Bahawalpur,female,Punjab,75,75,888,940,171,181,48,171,45,1,0,Yes
Challan Printed,1014.091,Bahawalpur,female,Punjab,64,64,834,955,179,173,173,189,0,0,0,No
Application Fee Received,895,Bahawalpur,female,Punjab,58,0,749,842,172,161,146,142,0,0,0,No
Application Fee Received,974,Bahawalpur,male,Punjab,62,0,941,922,165,172,172,171,44,0,0,No
Application Fee Received,925,Bahawalpur,female,Punjab,56,0,841,874,159,161,161,159,39,0,0,No
Application Fee Received,1039,Bahawalpur,female,Punjab,78,78,934,966,175,171,186,46,179,0,0,No
Application Fee Received,975.636,Bahawalpur,female,Punjab,59,59,903,921,173,183,168,169,0,0,0,No
Application Fee Received,763,Bahawalpur,male,Punjab,59,0,890,724,151,153,114,30,43,0,0,No
Application Fee Received,980.727,Bahawalpur,female,Punjab,51,51,892,934,172,175,44,172,46,0,0,No
Application Fee Received,830,Bahawalpur,female,Punjab,49,0,907,786,172,121,155,130,38,0,0,No
Application Fee Received,981,OPEN,female,Punjab,71,71,824,920,170,136,175,43,179,0,0,No
Application Fee Received,944,Bahawalpur,female,Punjab,58,0,905,891,147,46,39,170,160,0,0,No
Application Fee Received,834,Bahawalpur,female,Punjab,51,0,760,788,0,0,0,0,0,0,0,No
Challan Printed,982,Bahawalpur,female,Punjab,68,0,855,924,167,177,176,163,0,0,0,No
Application Fee Received,800,Bahawalpur,female,Punjab,45,0,866,760,160,134,131,36,145,0,0,No
Application Fee Received,778,Bahawalpur,female,Punjab,50,0,721,733,140,129,37,161,1,0,0,No
Application Fee Received,795,Bahawalpur,female,Punjab,45,0,821,755,161,142,44,141,41,0,0,No
Admission Fee Challan Received,1034.364,Bahawalpur,female,Punjab,82,82,890,957,172,181,179,43,184,1,0,Yes
Application Fee Received,894,Bahawalpur,male,Punjab,61,0,797,843,0,0,0,0,0,0,0,No
Challan Printed,832,Bahawalpur,male,Punjab,48,0,790,789,145,137,142,153,37,0,0,No
Application Fee Received,1060,Bahawalpur,female,Punjab,82,82,930,983,191,175,184,49,174,0,0,No
Application Fee Received,901,Bahawalpur,female,Punjab,58,0,858,848,0,0,0,0,0,0,0,No
Admission Fee Challan Received,836,Bahawalpur,female,Punjab,46,0,734,775,139,148,44,126,35,1,0,No
Challan Printed,1013.455,Bahawalpur,male,Punjab,88,88,909,930,166,176,175,155,47,0,0,No
Application Fee Received,916,Bahawalpur,male,Punjab,55,0,874,846,176,44,148,45,152,0,0,No
Application Fee Received,976,Bahawalpur,male,Punjab,77,61,771,909,162,169,161,46,177,0,0,No
Application Fee Received,912.182,Bahawalpur,female,Punjab,56,56,840,861,159,145,145,164,45,0,0,No
Application Fee Received,782,Bahawalpur,female,Punjab,60,0,650,727,164,0,0,0,0,0,0,No
Application Fee Received,940,Bahawalpur,female,Punjab,66,64,854,884,163,162,171,0,153,0,0,No
Application Fee Received,876,Bahawalpur,female,Punjab,42,0,862,839,152,171,155,126,0,0,0,No
Application Fee Received,956.364,Bahawalpur,female,Punjab,74,74,722,887,0,0,0,0,0,0,0,No
Application Fee Received,871,Bahawalpur,female,Punjab,52,0,802,824,147,44,129,33,185,0,0,No
Application Fee Received,1029.364,Bahawalpur,male,Punjab,84,84,877,950,169,173,182,172,0,1,0,Yes
Application Fee Received,949,Bahawalpur,female,Punjab,69,0,933,885,160,157,149,160,45,0,0,No
Application Fee Received,879,Bahawalpur,female,Punjab,47,0,806,837,160,150,134,171,42,0,0,No
Application Fee Received,1032,Bahawalpur,male,Punjab,67,0,893,980,0,0,0,0,0,0,0,No
Application Fee Received,863,Bahawalpur,female,Punjab,69,0,856,799,143,0,0,0,0,0,0,No
Application Fee Received,992,Bahawalpur,female,Punjab,64,62,887,938,177,161,169,181,45,0,0,No
Application Fee Received,704,Bahawalpur,male,Punjab,42,0,655,667,111,41,36,104,113,0,0,No
Application Fee Received,990,Bahawalpur,female,Punjab,66,0,882,929,184,168,157,185,44,0,0,No
Application Fee Received,936,Bahawalpur,female,Punjab,52,0,802,889,165,44,42,178,155,0,0,No
Application Fee Received,635,Bahawalpur,male,Punjab,42,0,549,598,91,131,30,120,110,1,0,No
Application Fee Received,804,Bahawalpur,female,Punjab,49,47,724,760,148,123,135,0,152,0,0,No
Challan Printed,986.364,Bahawalpur,female,Punjab,74,74,814,922,168,183,162,173,0,0,0,No
Admission Fee Challan Received,1023,Bahawalpur,female,Punjab,82,0,910,946,185,152,175,46,177,1,0,Yes
Application Fee Received,1023.545,Bahawalpur,female,Punjab,81,81,951,947,180,180,186,40,173,0,0,No
Admission Fee Challan Received,810,Bahawalpur,female,Punjab,71,0,791,744,159,110,43,132,138,1,0,No
Application Fee Received,994.909,Bahawalpur,male,Punjab,74,74,905,925,157,180,167,171,0,0,0,No
Application Fee Received,1051.636,Bahawalpur,female,Punjab,82,82,887,974,166,48,46,187,193,0,0,No
Application Fee Received,776,Bahawalpur,female,Punjab,54,0,878,727,151,131,127,105,0,0,0,No
Application Fee Received,973.636,Bahawalpur,female,Punjab,67,67,958,911,165,175,169,172,0,0,0,No
Application Fee Received,980.182,Bahawalpur,female,Punjab,76,76,875,914,164,169,47,151,45,0,0,No
Application Fee Received,900,Bahawalpur,male,Punjab,60,0,871,845,157,42,43,157,141,0,0,No
Application Fee Received,1024.818,Bahawalpur,male,Punjab,49,49,943,980,186,175,84,47,175,1,0,Yes
Application Fee Received,693,Bahawalpur,male,Punjab,57,0,704,641,121,114,76,44,119,0,0,No
Challan Printed,744,Bahawalpur,male,Punjab,46,0,646,703,140,41,122,130,122,0,0,No
Application Fee Received,936.545,Bahawalpur,female,Punjab,70,70,833,876,167,164,160,47,158,0,0,No
Application Fee Received,1005,Bahawalpur,female,Punjab,63,0,883,947,176,177,179,48,171,0,0,No
Application Fee Received,1014,Bahawalpur,female,Punjab,76,76,885,943,171,173,179,48,164,0,0,No
Application Fee Received,1016.273,Bahawalpur,male,Punjab,83,83,899,938,164,181,184,171,44,1,0,Yes
Application Fee Received,991.364,Bahawalpur,female,Punjab,89,89,813,907,165,163,175,157,47,0,0,No
Application Fee Received,1003,Bahawalpur,female,Punjab,57,0,858,951,177,179,170,178,0,0,0,No
Application Fee Received,974.818,Bahawalpur,female,Punjab,66,66,769,913,175,150,186,45,174,0,0,No
Application Fee Received,992,Bahawalpur,female,Punjab,78,78,831,919,145,48,47,179,178,0,0,No
Application Fee Received,747,Bahawalpur,male,Punjab,49,0,763,708,132,106,117,43,127,0,0,No
Application Fee Received,865,Bahawalpur,female,Punjab,61,0,818,809,141,131,119,165,0,0,0,No
Application Fee Received,1017.727,Bahawalpur,male,Punjab,62,62,940,960,153,89,191,181,180,0,0,No
Application Fee Received,953,Bahawalpur,female,Punjab,51,0,818,907,157,162,175,45,0,0,0,No
Application Received,770,Bahawalpur,female,Punjab,51,0,775,724,123,132,121,157,0,0,0,No
Application Fee Received,679,Bahawalpur,female,Punjab,46,0,666,638,120,96,142,32,90,0,0,No
Application Fee Received,911,Bahawalpur,female,Punjab,42,0,817,874,164,154,173,156,0,0,0,No
Admission Fee Challan Received,1059.364,Bahawalpur,female,Punjab,85,85,841,979,177,0,0,0,0,1,0,Yes
Application Fee Received,948,Bahawalpur,female,Punjab,65,0,943,888,0,0,0,0,0,0,0,No
Challan Printed,835,Bahawalpur,female,Punjab,47,0,819,798,139,158,138,45,140,0,0,No
Application Fee Received,906,Bahawalpur,female,Punjab,64,0,777,847,150,0,139,0,163,0,0,No
Challan Printed,834,Bahawalpur,male,Punjab,63,0,806,776,149,138,117,163,37,0,0,No
Admission Fee Challan Received,1056.364,Bahawalpur,female,Punjab,84,84,895,982,174,182,188,46,192,1,0,Yes
Challan Printed,582,Bahawalpur,female,Punjab,23,0,575,564,0,0,0,0,0,0,0,No
Application Fee Received,966,Bahawalpur,female,Punjab,62,0,1010,914,185,46,41,170,159,0,0,No
Challan Printed,967,Bahawalpur,male,Punjab,69,69,892,883,173,164,139,46,167,0,0,No
Application Fee Received,974,Bahawalpur,female,Punjab,60,0,824,919,168,172,44,156,174,0,0,No
Application Fee Received,797,Bahawalpur,male,Punjab,45,0,664,757,0,0,0,0,0,0,0,No
Admission Fee Challan Received,1081,Bahawalpur,female,Punjab,76,76,975,1010,188,185,196,188,44,1,0,Yes
