Application Status,Merit Score,Domicile,Gender,Province,Admission Test,Admission Test 2,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Document Verified,English Marks,Offered
Application Fee Received,906,OPEN,female,Punjab,41,38,841,870,0,0,0,0,0,0,0,No
Challan Printed,919,OPEN,female,Punjab,31,0,817,893,165,174,135,173,45,0,0,No
Application Received,798,OPEN,male,Punjab,54,0,866,749,0,0,0,0,0,0,0,No
Challan Printed,1010.909,OPEN,female,Punjab,72,72,865,943,172,44,183,171,164,0,0,No
Application Fee Received,979.909,OPEN,female,Punjab,41,41,899,923,182,148,187,48,149,0,0,No
Application Fee Received,1016.636,OPEN,female,Punjab,76,76,908,945,174,185,172,40,176,0,0,No
Application Fee Received,971.727,OPEN,male,Punjab,70,70,888,911,158,180,44,162,44,0,0,No
Application Fee Received,961.727,Bahawalpur,female,Punjab,50,50,974,916,170,46,42,174,170,0,0,No
Application Fee Received,1008.818,OPEN,male,Punjab,79,79,840,934,182,164,185,39,173,0,0,No
Challan Printed,876,OPEN,male,Punjab,0,0,834,881,47,47,165,172,169,0,0,No
Application Fee Received,959.636,OPEN,male,Punjab,50,50,879,914,0,0,0,0,0,0,0,No
Application Fee Received,1009.545,OPEN,male,Punjab,64,64,959,950,178,172,162,45,46,0,0,No
Application Fee Received,939,OPEN,male,Punjab,63,0,891,881,163,46,39,161,136,0,0,No
Application Fee Received,1032,OPEN,female,Punjab,73,0,869,964,172,187,183,176,45,0,0,No
Challan Printed,1025.091,OPEN,female,Punjab,75,75,836,960,150,177,187,46,175,0,0,No
Challan Printed,1049.545,OPEN,male,Punjab,55,55,970,979,0,0,0,0,0,0,0,No
Application Fee Received,889,Bahawalpur,female,Punjab,55,0,854,839,142,42,40,157,161,0,0,No
Challan Printed,1006,Bahawalpur,female,Punjab,73,0,945,938,178,42,178,46,165,0,0,No
Application Fee Received,991,OPEN,male,Punjab,48,0,896,953,154,46,46,194,176,0,0,No
Challan Printed,899,OPEN,female,Punjab,50,50,768,854,0,0,0,0,0,0,0,No
Application Fee Received,936,OPEN,male,Sind,63,0,930,858,151,48,42,163,163,0,0,No
Application Fee Received,1015,OPEN,female,Punjab,63,0,891,957,167,171,187,47,43,0,0,No
Application Fee Received,920,OPEN,female,Punjab,64,0,946,861,159,149,44,161,47,0,0,No
Application Fee Received,847,Bahawalpur,female,Punjab,53,0,794,799,159,146,134,44,152,0,0,No
Application Fee Received,949,Bahawalpur,female,Punjab,65,0,719,894,169,172,163,169,42,0,0,No
Challan Printed,951,OPEN,male,Sind,54,0,972,902,147,173,155,46,167,0,0,No
Application Fee Received,681,OPEN,female,Sind,50,0,612,641,116,92,140,89,37,0,0,No
Application Fee Received,1010.909,OPEN,male,Punjab,60,60,971,960,175,172,184,178,48,0,0,No
Challan Printed,1014.273,Bahawalpur,female,Punjab,75,75,923,944,171,160,179,47,176,0,0,No
Application Fee Received,935.182,OPEN,female,Punjab,50,50,855,895,171,171,182,150,43,0,0,No
Admission Fee Challan Received,863,OPEN,male,Baluchistan,0,0,736,818,161,128,151,151,0,1,0,No
Challan Printed,830,OPEN,male,Baluchistan,51,0,834,784,125,34,120,145,102,0,0,No
Challan Printed,787,OPEN,male,Baluchistan,70,0,845,727,148,36,40,121,127,0,0,No
Application Received,612,Bahawalpur,female,Punjab,53,0,720,642,98,140,115,33,116,0,0,No
Challan Printed,891,OPEN,male,Punjab,51,0,756,845,129,164,150,149,0,0,0,No
Application Received,856,OPEN,male,Gilgit-Baltistan,55,0,896,806,175,146,131,44,147,0,0,No
Application Fee Received,935,OPEN,male,Gilgit-Baltistan,0,0,856,890,175,170,148,168,37,1,0,No
Admission Fee Challan Received,691,OPEN,male,Gilgit-Baltistan,50,0,776,646,120,96,112,108,0,1,0,No
Challan Printed,1007.909,OPEN,male,Azad Kashmir,74,74,867,938,0,0,0,0,0,0,0,No
Challan Printed,966.273,OPEN,male,Azad Kashmir,67,67,943,904,0,0,0,0,0,0,0,No
