Application Status,Merit Score,Domicile,Province,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Optional Subject 6,Document Verified,English Marks,Offered
Application Fee Received,866,Bahawalpur,Punjab,58,896,871,135,168,45,174,37,157,0,0,No
Challan Printed,634,Bahawalpur,Punjab,35,721,639,131,107,93,109,31,34,0,0,No
Challan Printed,443,Bahawalpur,Punjab,44,553,448,68,86,82,73,0,0,0,0,No
Application Fee Received,914,Bahawalpur,Punjab,53,942,919,141,185,43,165,48,188,0,0,No
Application Fee Received,972,Bahawalpur,Punjab,87,941,982,185,189,188,0,182,0,1,0,Yes
Application Fee Received,621,Bahawalpur,Punjab,34,669,626,102,30,110,38,123,122,0,0,No
Admission Fee Challan Received,880,Bahawalpur,Punjab,58,883,865,155,178,190,124,40,36,1,0,Yes
Challan Printed,487,Bahawalpur,Punjab,45,607,492,78,96,27,85,26,71,0,0,No
Application Fee Received,810.423,Bahawalpur,Punjab,42,698,830,40,0,0,0,0,0,0,0,No
Application Fee Received,797,Bahawalpur,Punjab,43,834,802,170,46,32,156,137,132,0,0,No
Application Fee Received,844.072,Bahawalpur,Punjab,46,770,849,0,0,0,0,0,0,1,0,No
Application Fee Received,957,Bahawalpur,Punjab,62,962,962,155,47,185,187,189,0,0,0,No
Application Received,913,Bahawalpur,Punjab,73,936,918,180,166,173,0,0,0,0,0,No
Challan Printed,950,Bahawalpur,Punjab,64,834,955,179,173,173,189,0,0,0,0,No
Application Fee Received,647,Bahawalpur,Punjab,54,823,652,137,102,97,38,105,31,0,0,No
Application Fee Received,705,Bahawalpur,Punjab,52,718,710,105,158,123,148,27,42,0,0,No
Challan Printed,637,Bahawalpur,Punjab,0,721,642,114,98,91,133,39,41,0,0,No
Challan Printed,696,Bahawalpur,Punjab,66,723,691,0,0,0,0,0,0,0,0,No
Admission Fee Challan Received,865,Bahawalpur,Punjab,63,886,870,161,0,174,0,175,0,1,0,Yes
Application Fee Received,754,Bahawalpur,Punjab,51,732,744,95,45,130,38,169,120,0,0,No
Application Fee Received,680,Bahawalpur,Punjab,53,742,665,91,124,125,108,0,0,0,0,No
Challan Printed,665,Bahawalpur,Punjab,60,672,670,107,91,142,44,119,40,0,0,No
Application Fee Received,790,Bahawalpur,Punjab,46,734,775,139,148,44,126,35,143,0,0,No
Application Fee Received,480,Bahawalpur,Punjab,49,659,485,82,18,79,28,85,90,0,0,No
Application Fee Received,856,Bahawalpur,Punjab,56,840,861,159,145,145,164,45,46,0,0,No
Application Fee Received,635,Bahawalpur,Punjab,53,629,640,131,118,39,70,33,103,0,0,No
Application Fee Received,466,Bahawalpur,Punjab,0,532,471,86,77,68,68,39,29,0,0,No
Admission Fee Challan Received,878,Bahawalpur,Punjab,58,862,863,120,153,194,187,38,36,1,0,Yes
Application Fee Received,595,Bahawalpur,Punjab,44,707,600,0,0,0,0,0,0,1,0,Yes
Application Fee Received,749,Bahawalpur,Punjab,61,867,754,154,149,142,113,38,38,0,0,No
Challan Printed,589,Bahawalpur,Punjab,0,742,594,114,92,109,88,41,43,0,0,No
Application Fee Received,827,Bahawalpur,Punjab,52,872,832,142,152,46,154,42,159,0,0,No
Application Fee Received,788,Bahawalpur,Punjab,49,806,793,171,150,0,0,0,0,0,0,No
Admission Fee Challan Received,859,Bahawalpur,Punjab,59,874,864,116,47,41,168,166,174,1,0,Yes
Application Fee Received,859,Bahawalpur,Punjab,49,888,869,164,156,156,159,45,43,0,0,No
Application Fee Received,941,Bahawalpur,Punjab,82,910,946,185,152,175,46,177,0,1,0,Yes
Application Fee Received,876,Bahawalpur,Punjab,46,947,881,153,170,164,0,0,0,0,0,No
Application Fee Received,947,Bahawalpur,Punjab,63,882,957,177,0,169,0,0,0,0,0,No
Application Fee Received,611,Bahawalpur,Punjab,0,690,616,128,93,106,123,0,0,1,0,Yes
Application Fee Received,683,Bahawalpur,Punjab,64,776,648,105,96,40,117,42,109,0,0,No
Application Fee Received,622,Bahawalpur,Punjab,54,753,627,136,117,100,35,103,41,0,0,No
Application Fee Received,906,Bahawalpur,Punjab,67,958,911,165,175,169,172,0,0,0,0,No
Application Received,737,Bahawalpur,Punjab,0,817,722,0,0,0,0,0,0,0,0,No
Application Fee Received,593,Bahawalpur,Punjab,49,577,598,106,117,33,127,35,84,0,0,No
Application Fee Received,833,Bahawalpur,Punjab,62,901,838,177,156,128,159,0,0,0,0,No
Application Fee Received,665,Bahawalpur,Punjab,48,726,670,118,108,129,130,31,41,0,0,No
Application Fee Received,652,Bahawalpur,Punjab,45,577,657,0,0,0,0,0,0,0,0,No
Application Fee Received,902,Bahawalpur,Punjab,51,818,907,157,162,175,45,0,0,0,0,No
Challan Printed,883,Bahawalpur,Punjab,65,943,888,0,0,0,0,0,0,0,0,No
Application Fee Received,666,Bahawalpur,Punjab,51,611,671,111,90,101,48,45,142,0,0,No
Application Fee Received,771,Bahawalpur,Punjab,63,806,776,149,138,117,163,37,0,0,0,No
Application Fee Received,841,Bahawalpur,Punjab,20,895,846,0,0,0,0,0,0,0,0,No
Challan Printed,972,Bahawalpur,Punjab,84,895,982,174,182,188,46,192,45,0,0,No
Application Fee Received,785,Bahawalpur,Punjab,71,749,770,166,139,111,149,42,0,0,0,No
Application Received,845.029,Bahawalpur,Punjab,47,577,850,128,112,114,74,69,70,0,0,No
Application Fee Received,735,Bahawalpur,Punjab,47,897,740,140,116,113,141,0,0,0,0,No
Challan Printed,695,Bahawalpur,Punjab,55,743,700,122,107,138,122,0,0,0,0,No
Application Fee Received,582,Bahawalpur,Punjab,52,790,602,116,91,87,88,46,0,0,0,No
Challan Printed,730,Bahawalpur,Punjab,0,756,735,0,0,0,0,0,0,0,0,No
Challan Printed,716,Bahawalpur,Punjab,44,907,701,115,45,137,45,123,112,0,0,No
Application Fee Received,792.887,Bahawalpur,Punjab,0,610,797,77,92,142,76,0,0,0,0,No
Application Fee Received,638,Bahawalpur,Punjab,0,718,643,101,114,103,110,43,0,0,0,No
Application Fee Received,645,Bahawalpur,Punjab,53,716,650,139,89,123,116,41,0,0,0,No
Application Fee Received,731,Bahawalpur,Punjab,52,712,736,0,0,0,0,0,0,0,0,No
Application Fee Received,872,Bahawalpur,Punjab,47,774,877,161,43,154,44,161,0,0,0,No
Application Fee Received,785,OPEN,Punjab,66,836,790,158,167,107,140,0,0,0,0,No
Application Fee Received,639,Bahawalpur,Punjab,48,788,644,79,122,114,98,42,0,0,0,No
Application Received,712,Bahawalpur,Punjab,46,843,717,136,138,118,43,124,32,0,0,No
Application Fee Received,640,Bahawalpur,Punjab,44,700,645,116,85,109,112,0,0,0,0,No
Application Fee Received,678,Bahawalpur,Punjab,0,687,683,129,95,122,43,113,36,0,0,No
Application Fee Received,652,Bahawalpur,Punjab,52,710,657,113,45,98,78,143,0,0,0,No
Application Fee Received,689,Bahawalpur,Punjab,44,791,674,132,117,137,87,42,35,0,0,No
