Application Status,Merit Score,Domicile,Province,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Optional Subject 6,Document Verified,English Marks,Offered
Challan Printed,898,Bahawalpur,Punjab,52,901,851,165,139,153,0,157,0,0,0,No
Application Fee Received,995,Bahawalpur,Punjab,58,837,942,153,183,46,172,48,182,0,0,No
Challan Printed,825,Bahawalpur,Punjab,52,776,783,136,138,128,154,40,0,0,0,No
Application Fee Received,1002,Bahawalpur,Punjab,68,870,939,169,178,176,47,166,49,0,0,No
Application Fee Received,975,Bahawalpur,Punjab,64,943,916,174,43,184,148,181,0,0,0,No
Application Fee Received,907,Bahawalpur,Punjab,50,910,862,153,169,146,156,43,45,0,0,No
Application Fee Received,1018.727,Bahawalpur,Punjab,72,912,951,167,181,183,44,177,44,1,0,No
Application Fee Received,963,Bahawalpur,Punjab,74,770,894,156,46,42,164,183,162,0,0,No
Application Fee Received,727,Bahawalpur,Punjab,42,843,690,110,39,39,136,129,115,0,0,No
Application Fee Received,1052.182,Bahawalpur,Punjab,88,854,969,171,179,182,189,0,0,0,0,No
Application Fee Received,903,Bahawalpur,Punjab,53,902,855,0,0,0,0,0,0,0,0,No
Application Fee Received,1020,Bahawalpur,Punjab,88,868,942,159,184,170,188,0,0,1,0,No
Application Fee Received,901,Bahawalpur,Punjab,43,912,863,0,0,0,0,0,0,0,0,No
Application Fee Received,1001,Bahawalpur,Punjab,60,916,946,174,40,174,181,171,0,0,0,No
Application Fee Received,1038.091,Bahawalpur,Punjab,75,869,968,161,190,190,48,174,45,1,0,Yes
Application Fee Received,981.182,Bahawalpur,Punjab,67,892,919,165,156,46,184,46,172,0,0,No
Application Fee Received,887,Bahawalpur,Punjab,67,955,825,142,137,162,129,0,0,0,0,No
Application Fee Received,592,Bahawalpur,Punjab,40,637,557,86,93,105,32,86,31,0,0,No
Application Fee Received,731,Bahawalpur,Punjab,50,749,686,122,128,93,45,128,44,0,0,No
Application Fee Received,879,Bahawalpur,Punjab,48,843,836,110,38,38,172,157,179,0,0,No
Application Fee Received,1032.818,Bahawalpur,Punjab,89,880,953,167,48,48,184,173,171,1,0,Yes
Application Fee Received,915,Bahawalpur,Punjab,60,853,860,141,37,45,140,157,169,0,0,No
Application Fee Received,1036,Bahawalpur,Punjab,69,968,972,177,179,189,183,46,49,1,0,Yes
Application Fee Received,888,Bahawalpur,Punjab,68,877,825,138,163,131,152,45,45,0,0,No
Challan Printed,1066.636,Bahawalpur,Punjab,86,903,970,186,175,181,0,0,0,0,0,No
Application Fee Received,872,Bahawalpur,Punjab,55,881,802,147,157,139,158,0,0,0,0,No
Application Fee Received,1016,Bahawalpur,Punjab,57,918,964,172,49,180,184,175,0,0,0,No
Admission Fee Challan Received,1041.545,Bahawalpur,Punjab,88,965,948,182,177,179,173,43,39,1,0,Yes
Application Fee Received,799,Bahawalpur,Punjab,62,706,742,120,124,112,168,0,0,0,0,No
Application Fee Received,1016.273,Bahawalpur,Punjab,74,973,947,134,0,0,0,0,0,1,0,No
Application Received,822,Bahawalpur,Punjab,0,789,827,0,0,0,0,0,0,0,0,No
Application Fee Received,612,Bahawalpur,Punjab,46,673,571,89,44,35,79,107,97,0,0,No
Application Fee Received,1008,Bahawalpur,Punjab,64,877,949,185,172,180,42,165,46,0,0,No
Application Fee Received,852,Bahawalpur,Punjab,46,840,811,139,43,37,173,156,132,0,0,No
Admission Fee Challan Received,1067.727,Bahawalpur,Punjab,79,950,993,177,200,187,0,0,0,1,0,Yes
Application Fee Received,952,Bahawalpur,Punjab,54,960,903,150,42,44,173,170,173,0,0,No
Challan Printed,722,Bahawalpur,Punjab,61,786,666,150,123,92,27,134,0,0,0,No
Application Fee Received,1016.364,Bahawalpur,Punjab,67,899,954,0,0,0,0,0,0,1,0,No
Application Fee Received,753,Bahawalpur,Punjab,41,672,717,152,39,38,118,138,126,0,0,No
Application Fee Received,989.727,Bahawalpur,Punjab,78,941,916,166,42,45,162,174,179,0,0,No
Application Fee Received,865,Bahawalpur,Punjab,51,860,819,152,147,138,159,44,39,0,0,No
Application Fee Received,912.636,Bahawalpur,Punjab,44,800,853,0,0,0,0,0,0,0,0,No
Application Fee Received,1006,Bahawalpur,Punjab,48,883,968,184,176,175,0,0,0,0,0,No
Application Fee Received,853.273,Bahawalpur,Punjab,54,794,804,166,170,134,44,137,30,0,0,No
Application Fee Received,740,Bahawalpur,Punjab,40,796,705,160,105,153,31,91,39,0,0,No
Application Fee Received,944,Bahawalpur,Punjab,64,853,885,161,171,42,154,41,175,0,0,No
Application Fee Received,974,Bahawalpur,Punjab,55,869,924,164,176,182,173,0,0,0,0,No
Application Fee Received,941.364,Bahawalpur,Punjab,69,931,877,153,164,171,166,0,0,0,0,No
Application Received,591,Bahawalpur,Punjab,50,583,571,77,88,111,66,35,75,0,0,No
Application Fee Received,924,Bahawalpur,Punjab,58,896,871,135,168,45,174,37,157,0,0,No
Application Fee Received,849,Bahawalpur,Punjab,53,776,801,127,157,41,147,41,149,0,0,No
Application Fee Received,1014,Bahawalpur,Punjab,64,806,955,0,0,0,0,0,0,1,0,No
Challan Printed,967,Bahawalpur,Punjab,53,942,919,141,185,43,165,48,188,0,0,No
Application Fee Received,962,Bahawalpur,Punjab,54,974,913,183,45,173,171,140,0,0,0,No
Application Fee Received,801,Bahawalpur,Punjab,71,924,740,125,173,91,45,110,46,0,0,No
Application Fee Received,896,Bahawalpur,Punjab,68,887,833,163,163,150,33,135,46,0,0,No
Application Fee Received,781,Bahawalpur,Punjab,52,837,739,125,43,29,148,122,132,0,0,No
Application Received,840,Bahawalpur,Punjab,43,834,802,170,46,32,156,137,132,0,0,No
Application Fee Received,906,Bahawalpur,Punjab,56,905,855,0,0,0,0,0,0,0,0,No
Application Received,494,OPEN,Punjab,0,691,524,79,70,91,132,27,0,0,0,No
Application Fee Received,971,Bahawalpur,Punjab,57,759,899,161,166,172,153,46,47,0,0,No
Application Fee Received,1005,Bahawalpur,Punjab,62,955,948,166,179,185,183,43,0,0,0,No
Application Fee Received,986,Bahawalpur,Punjab,73,936,918,180,166,173,0,0,0,0,0,No
