Application Status,Admission Test,SSC,Terminal Degree,Optional Subject 5,Offered
Complete,53,731,651,40,No
Complete,50,664,577,108,No
Complete,50,742,754,173,No
Complete,0,745,701,126,No
Complete,49,765,880,66,No
Complete,12,789,752,138,No
Complete,52,843,809,123,No
Complete,50,865,746,131,No
Complete,14,819,853,155,No
Complete,49,680,694,0,No
Complete,50,648,634,42,No
Complete,49,736,575,118,No
Complete,54,726,748,136,No
Complete,52,622,711,105,No
Complete,66,836,790,167,No
Complete,58,746,702,139,No
Complete,54,806,674,0,No
Complete,53,837,846,149,No
Complete,48,695,720,35,No
Complete,0,820,787,139,No
Complete,63,905,788,0,No
Complete,46,719,655,93,No
Complete,53,796,738,138,No
Complete,66,902,835,154,No
Complete,33,852,910,0,Yes
Complete,55,596,530,41,No
Complete,62,830,854,0,No
Complete,49,680,694,0,No
Complete,49,765,880,66,No
Complete,43,630,672,141,No
Complete,48,595,822,0,No
Complete,53,592,560,28,No
Complete,36,554,507,0,No
Complete,52,602,859,45,Yes
Complete,66,902,835,154,No
Complete,2,748,624,47,No
Complete,54,726,712,0,No
Complete,44,798,716,0,No
Complete,50,708,577,0,No
Complete,50,735,673,0,No
Complete,73,720,536,0,No
Complete,49,662,814,137,No
Complete,48,747,668,110,No
Complete,54,681,767,0,No
Complete,33,646,691,125,No
Complete,40,771,570,95,No
Complete,57,814,788,97,No
Complete,17,534,798,0,No
Complete,52,693,700,124,No
Complete,56,604,641,0,No
Complete,2,748,624,47,No
Complete,49,676,761,153,No
Complete,50,731,504,0,No
Complete,49,765,795,127,No
Complete,41,772,647,119,No
Complete,46,793,599,71,No
Complete,52,715,728,0,No
Complete,46,619,570,83,No
Complete,40,645,700,0,No
Complete,46,683,722,55,No
Complete,54,760,667,128,No
Complete,48,748,813,0,No
Complete,57,880,702,135,No
Complete,45,662,571,61,No
Complete,54,787,725,132,No
Complete,60,776,725,0,No
Complete,61,591,800,67,No
Complete,49,783,781,0,No
Complete,50,641,664,0,No
Complete,60,814,731,116,No
Complete,53,809,784,0,No
Complete,55,542,762,0,No
Complete,61,860,817,0,No
Complete,50,625,570,0,No
Complete,49,662,814,137,No
Complete,50,722,770,41,No
Complete,62,896,667,0,No
Complete,62,692,816,0,No
Complete,40,509,766,0,No
Complete,56,782,758,141,No
Complete,50,639,561,88,No
Complete,46,856,841,0,No
Complete,60,800,793,0,No
Complete,49,620,737,108,No
Complete,73,882,904,161,Yes
Complete,56,782,758,141,No
Complete,50,639,561,88,No
Complete,59,813,795,119,No
Complete,50,502,378,32,No
Complete,49,823,707,117,No
Complete,51,724,648,97,No
Complete,64,846,894,142,Yes
Complete,57,836,791,131,No
Complete,19,774,633,0,No
Complete,44,563,600,117,No
Complete,62,695,570,143,No
Complete,44,710,801,0,No
Complete,52,812,636,30,No
Complete,60,849,884,153,Yes
Complete,41,774,695,0,No
Complete,43,854,847,179,No
