Application Status,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 4,Optional Subject 5,Offered
Complete,57,737,715,162,108,131,38,Yes
Complete,43,778,786,127,45,141,43,Yes
Complete,0,688,586,89,142,98,62,No
Complete,0,864,735,117,160,135,103,No
Complete,29,529,660,154,104,98,100,No
Complete,52,736,658,102,80,116,88,No
Complete,69,903,883,157,42,176,154,Yes
Complete,44,677,579,107,89,125,95,No
Complete,0,577,554,138,42,93,73,No
Complete,55,898,749,151,157,121,0,Yes
Complete,41,865,832,0,0,0,0,Yes
Complete,50,916,840,143,152,154,128,Yes
Complete,52,672,655,85,122,127,107,No
Complete,55,845,634,120,97,136,98,No
Complete,45,629,616,0,0,0,0,No
Complete,50,784,605,107,40,109,114,No
Complete,47,652,483,113,86,71,41,No
Complete,0,555,619,147,83,118,117,No
Complete,50,843,705,144,106,130,0,Yes
Complete,52,901,950,150,140,150,150,Yes
Complete,400,621,686,119,40,138,122,No
Complete,47,851,926,175,171,45,172,Yes
Complete,34,762,773,62,45,69,44,No
Complete,0,949,805,144,149,150,0,No
Complete,0,882,673,143,43,115,89,No
Complete,0,730,632,96,91,109,0,No
Complete,0,867,851,0,0,0,0,No
Complete,38,905,863,0,0,0,0,Yes
Complete,45,730,763,123,133,131,0,Yes
Complete,45,608,554,0,0,0,0,No
Complete,0,631,553,133,128,74,70,No
Complete,0,665,687,129,123,159,105,No
Complete,46,758,607,133,126,96,79,No
Complete,50,554,567,125,74,77,37,No
Complete,0,811,690,0,0,0,0,No
Complete,50,740,750,135,137,122,122,Yes
Complete,44,732,587,89,86,109,38,No
Complete,65,887,974,187,193,166,160,Yes
Complete,46,641,573,61,81,121,116,No
Complete,44,731,666,118,0,0,0,No
Complete,57,896,856,148,149,178,144,Yes
Complete,69,756,807,137,157,169,119,Yes
Complete,58,915,795,0,0,0,0,Yes
Complete,51,700,603,123,127,0,0,No
Complete,35,602,635,130,118,99,100,No
Complete,51,662,731,96,134,136,0,Yes
Complete,54,805,701,141,104,117,145,Yes
Complete,63,820,867,0,0,0,0,Yes
Complete,45,723,616,125,115,94,46,No
Complete,55,764,751,0,0,0,0,Yes
Complete,42,646,757,139,115,138,125,Yes
Complete,68,1002,1019,93,0,0,0,No
Complete,54,925,813,160,44,124,147,Yes
Complete,38,783,688,150,106,140,135,No
Complete,68,1002,1019,93,0,0,0,No
Complete,52,901,950,150,140,150,150,Yes
Complete,56,861,876,0,0,0,0,Yes
Complete,56,651,820,159,41,161,44,Yes
Complete,50,900,757,0,0,0,0,Yes
Complete,41,715,686,137,145,119,116,No
Complete,48,861,889,0,0,0,0,Yes
Complete,57,912,828,160,160,162,130,Yes
Complete,46,891,779,161,137,151,136,Yes
Complete,52,855,763,139,145,147,125,Yes
Complete,61,707,827,158,139,134,152,Yes
Complete,51,814,681,122,108,114,99,Yes
Complete,52,926,854,149,141,151,41,Yes
Complete,56,728,698,128,140,113,34,Yes
Complete,52,788,768,153,105,0,151,Yes
Complete,54,785,748,109,145,127,134,Yes
Complete,44,662,704,144,143,98,44,No
Complete,46,615,729,122,0,0,0,Yes
Complete,53,840,854,166,144,0,156,Yes
Complete,50,854,830,134,125,171,154,Yes
Complete,54,819,837,138,121,174,155,Yes
Complete,50,904,843,146,167,150,157,Yes
Complete,50,892,730,0,0,0,0,Yes
Complete,46,864,672,120,120,108,40,No
Complete,52,868,729,153,115,116,148,Yes
Complete,51,751,688,122,126,126,113,Yes
Complete,44,640,752,135,138,115,44,Yes
Complete,57,738,715,134,127,122,127,No
Complete,42,746,798,142,129,134,150,Yes
Complete,53,854,819,144,155,169,132,Yes
Complete,57,878,757,142,132,123,153,Yes
Complete,54,800,855,178,164,155,120,Yes
Complete,48,764,898,163,156,171,0,Yes
Complete,67,928,865,0,0,0,0,Yes
Complete,40,728,742,0,0,0,0,Yes
Complete,46,768,707,151,122,0,90,No
Complete,46,787,735,114,148,111,0,Yes
Complete,52,738,794,114,129,161,141,Yes
Complete,55,881,783,0,0,0,0,Yes
Complete,51,731,717,126,113,142,0,Yes
Complete,48,708,668,141,140,83,0,Yes
Complete,44,681,819,148,157,167,150,Yes
Complete,44,807,802,162,164,151,130,Yes
Complete,48,740,730,131,112,129,136,Yes
Complete,65,715,809,125,152,160,0,Yes
Complete,58,823,877,160,166,158,151,Yes
Complete,53,769,666,88,111,122,41,Yes
Complete,40,766,677,137,129,108,104,Yes
Complete,51,756,840,145,153,174,0,Yes
Complete,50,921,756,143,150,100,127,Yes
Complete,57,819,805,111,152,125,165,Yes
Complete,65,751,765,118,163,147,108,Yes
Complete,56,777,800,130,80,45,150,Yes
Complete,52,670,610,124,112,108,44,No
Complete,74,787,931,154,170,169,46,Yes
Complete,59,747,689,138,113,0,93,No
Complete,47,738,702,0,0,0,0,Yes
Complete,50,825,664,112,136,151,103,No
Complete,50,906,659,112,118,101,0,No
Complete,56,904,873,155,133,179,45,Yes
Complete,50,616,754,162,91,146,151,Yes
Complete,50,799,858,147,158,144,47,Yes
Complete,42,806,745,141,118,122,145,Yes
Complete,46,855,632,127,115,82,35,No
Complete,50,781,826,0,0,0,0,Yes
Complete,46,746,516,77,71,133,74,No
Complete,45,844,765,146,126,156,116,Yes
Complete,50,588,659,0,0,0,0,No
Complete,0,775,863,179,158,157,164,No
