Application Status,Admission Test,SSC,Terminal Degree,Document Verified,Offered
NotComplete,0,931,756,0,No
Complete,56,799,829,0,No
Complete,40,835,715,1,No
NotComplete,34,613,654,0,No
Complete,56,844,804,0,No
Complete,50,645,703,0,No
NotComplete,47,792,741,0,No
Complete,57,735,686,0,No
Complete,50,691,675,0,No
Complete,50,623,634,0,No
NotComplete,50,812,742,0,No
Complete,48,561,861,0,No
Complete,37,589,702,0,No
NotComplete,40,812,755,0,No
Complete,54,869,871,0,No
NotComplete,26,718,688,0,No
NotComplete,0,933,841,0,No
Complete,0,798,780,0,No
Complete,53,931,815,1,No
Complete,52,818,856,1,Yes
Complete,42,652,817,0,No
Complete,53,762,842,0,No
NotComplete,48,740,704,0,No
NotComplete,0,818,856,0,No
NotComplete,0,813,804,0,No
Complete,66,849,814,0,No
Complete,49,879,723,0,No
NotComplete,73,940,834,0,No
Complete,59,940,893,0,No
Complete,48,797,780,0,No
Complete,38,856,839,0,No
Complete,59,761,803,0,No
Complete,62,772,841,1,Yes
Complete,48,733,693,0,No
Complete,49,882,842,0,No
NotComplete,55,891,830,0,No
NotComplete,0,722,501,0,No
Complete,47,823,806,0,No
Complete,53,877,849,1,Yes
NotComplete,0,651,629,0,No
Complete,50,693,681,0,No
Complete,50,613,725,0,No
NotComplete,64,862,826,0,No
Complete,44,796,782,0,No
Complete,44,901,871,0,No
NotComplete,56,697,728,0,No
Complete,59,931,905,1,Yes
Complete,46,764,690,0,No
Complete,53,517,600,0,No
NotComplete,41,738,741,0,No
Complete,0,708,691,0,No
Complete,45,723,698,0,No
Complete,26,635,557,0,No
Complete,50,655,618,0,No
Complete,47,820,856,0,No
NotComplete,0,783,766,0,No
Complete,54,865,848,0,No
NotComplete,47,765,529,0,No
Complete,44,684,608,0,No
NotComplete,46,639,747,0,No
Complete,59,848,888,0,No
Complete,0,506,501,0,No
Complete,50,861,817,0,No
Complete,44,782,852,1,Yes
NotComplete,49,729,674,0,No
NotComplete,60,931,920,0,No
NotComplete,0,831,843,0,No
Complete,58,776,827,0,No
NotComplete,0,775,690,0,No
Complete,83,827,833,0,No
NotComplete,0,690,713,0,No
NotComplete,50,641,664,0,No
Complete,49,757,707,0,No
NotComplete,41,835,658,0,No
Complete,54,718,764,0,No
NotComplete,52,693,801,0,No
Complete,55,667,627,0,No
Complete,49,800,879,0,No
NotComplete,46,663,862,0,No
Complete,52,829,892,0,No
NotComplete,41,777,661,0,No
Complete,22,717,811,0,No
Complete,40,644,701,0,No
